ds_sale_price_formula,ds_purchase_price_formula,ds_material_alias,vl_quantity_sell,vl_unit_price_sell,cd_alias_language,cd_product_id,lower(ds_category_en),lower(ds_record_type_name)
"","",Hartmetall Wendeschneidplatten,16.10,12.270000,de,18017,tungsten carbide,retail
"","","Bright copper, no 1, Millberry",4.40,4.430000,en,18025,copper,retail
"","",Hartmetall Bohrer und Fräser,21.00,13.160000,de,18019,tungsten carbide,retail
"","","Copper Cable, min. 38% Cu",66.30,1.410000,en,18028,cables,retail
"","","E1 - iron and steel, miscellaneous scrap",8.30,0.070000,en,18060,iron and steel,retail
"","","Copper Cable, min. 38% Cu",6.70,1.440000,en,18028,cables,retail
"","","Copper Cable, min. 38% Cu",14.40,1.300000,en,18028,cables,retail
"","",Tableware tin,2.80,2.720000,en,18071,tin,retail
"","","Copper, miscellaneous, low-grade, old",2.10,3.960000,en,18024,copper,retail
"","","Mobiles, smartphones",0.10,6.920000,en,18043,phones,retail
"","","Copper Cable, min. 70% Cu",63.00,2.770000,en,18031,cables,retail
"","","Copper Cable, min. 38% Cu",108.00,1.490000,en,18028,cables,retail
"","","Copper Cable, min. 38% Cu",0.60,1.410000,en,18028,cables,retail
"","","Bright copper, no 2, sparkplugs",31.00,4.520000,en,18023,copper,retail
"","","Brass, miscellaneous",0.50,2.590000,en,18036,yellow brass,retail
"","","Cast aluminium, new",0.90,0.960000,en,18013,aluminium,retail
"","","Aluminium-copper radiator, clean",0.70,1.660000,en,18007,aluminium,retail
"","",Scrap soft lead,31.20,1.461905,en,19556,lead,retail
"","",Hartmetall Wendeschneidplatten,14.70,11.940000,de,18017,tungsten carbide,retail
"","",Lead batteries,4.50,0.320000,en,18065,electronics,retail
"","","Copper, miscellaneous, low-grade, old",19.00,4.220000,en,18024,copper,retail
"","",Hartmetall Wendeschneidplatten,3.40,12.540000,de,18017,tungsten carbide,retail
"","","Copper, miscellaneous, low-grade, old",18.80,4.220000,en,18024,copper,retail
"","","Cast aluminium, old",19.00,0.990000,en,18014,aluminium,retail
"","",Hartmetall Bohrer und Fräser,5.60,13.160000,de,18019,tungsten carbide,retail
"","","Brass MS58, new, pieces",154.00,3.170000,en,18032,yellow brass,retail
"","","Brass, miscellaneous",100.00,2.760000,en,18036,yellow brass,retail
"","","Copper, miscellaneous, low-grade, old",8.00,3.800000,en,18024,copper,retail
"","","Cast aluminium, new",3.60,0.990000,en,18013,aluminium,retail
"","","Copper Cable, min. 60% Cu",0.60,2.400000,en,18030,cables,retail
"","","Aluminium profiles, bare (new)",1.70,1.228658,en,18001,aluminium,retail
"","","Heavy copper, berry min. 98% Cu",16.00,4.420000,en,18022,copper,retail
"","","Copper, miscellaneous, low-grade, old",2.90,4.166519,en,18024,copper,retail
"","","Copper Cable, min. 38% Cu",9.10,1.499231,en,18028,cables,retail
"","","Copper, miscellaneous, low-grade, old",5.50,4.166519,en,18024,copper,retail
"","","Electronic scrap, miscellaneous",46.50,0.090000,en,18059,electronics,retail
"","","Cast aluminium, new",86.00,0.950000,en,18013,aluminium,retail
"","",Class 3 circuit boards,18.80,2.110000,en,18045,pcbs,retail
"","",Hartmetall Wendeschneidplatten,1.40,12.540000,de,18017,tungsten carbide,retail
"","","Aluminium, miscellaneous",38.00,0.760000,en,18003,aluminium,retail
"","",Scrap soft lead,4.00,1.388095,en,19556,lead,retail
"","",Lead batteries,300.00,0.380000,en,18065,electronics,retail
"","","Copper, miscellaneous, low-grade, old",128.00,4.250000,en,18024,copper,retail
"","","Cast aluminium, old",31.00,0.950000,en,18014,aluminium,retail
"","","Aluminium rims, contaminated",6.60,0.960000,en,18012,aluminium,retail
"","","Aluminium profiles, bare (new)",5.10,1.230000,en,18001,aluminium,retail
"","",Brass cartridges,27.40,3.080000,en,18034,yellow brass,retail
"","","Copper Cable, min. 38% Cu",10.50,1.450000,en,18028,cables,retail
"","",Hartmetall Bohrer und Fräser,18.50,13.160000,de,18019,tungsten carbide,retail
"","",Hartmetall Wendeschneidplatten,11.20,11.940000,de,18017,tungsten carbide,retail
"","","Hss, miscellaneous, high speed steel",0.70,0.840000,en,18018,tungsten carbide,retail
"","","Copper Cable, min. 60% Cu",0.20,2.320000,en,18030,cables,retail
"","",Modules - mixed materials,5.00,0.760000,en,10139,electronics,retail
"","",Aluminium cans,4.00,0.350000,en,17966,aluminium,retail
"","",Electric motors - large,8.00,0.390000,en,10212,electronics,retail
"","","Brass MS58, new, pieces",11.50,2.850000,en,18032,yellow brass,retail
"","","Heavy copper, berry min. 98% Cu",8.30,4.310000,en,18022,copper,retail
"","",Class 3 circuit boards,2.40,0.200000,en,18045,pcbs,retail
"","","Copper, miscellaneous, low-grade, old",14.30,3.940000,en,18024,copper,retail
"","","Aluminium-copper radiator, contaminated",10.50,1.480000,en,18008,aluminium,retail
"","",Hartmetall Bohrer und Fräser,6.80,13.600000,de,18019,tungsten carbide,retail
"","",Lead batteries,89.00,0.370000,en,18065,electronics,retail
"","","Aluminium profiles, bare (new)",1.50,1.220000,en,18001,aluminium,retail
"","","Brass, miscellaneous",1.00,2.530000,en,18036,yellow brass,retail
"","","Copper Cable, min. 38% Cu",24.00,1.500000,en,18028,cables,retail
"","",Lead batteries,23.00,0.390000,en,18065,electronics,retail
"","",Brass cartridges,16.50,2.907767,en,18034,yellow brass,retail
"","",Disc drives,7.40,15.570000,en,18055,pc components,retail
"","","Copper, miscellaneous, low-grade, old",6.60,3.940000,en,18024,copper,retail
"","","Cast aluminium, new",0.30,1.020000,en,18013,aluminium,retail
"","","Cast aluminium, old",0.30,0.980000,en,18014,aluminium,retail
"","",Lead batteries,22.00,0.360000,en,18065,electronics,retail
"","","Bright copper, no 1, Millberry",69.00,4.930000,en,18025,copper,retail
"","","Aluminium-copper radiator, clean",32.00,1.780000,en,18007,aluminium,retail
"","",Class 3 circuit boards,0.50,2.240000,en,18045,pcbs,retail
"","",Disc drives,2.50,0.230000,en,18055,pc components,retail
"","","Aluminium profiles, bare (new)",2.50,1.230000,en,18001,aluminium,retail
"","",Silver contacts,0.05,6.590000,en,21649,electronics,retail
"","","Brass, miscellaneous",0.20,2.390000,en,18036,yellow brass,retail
"","",Power supplies,3.80,0.220000,en,18056,pc components,retail
"","","Copper, miscellaneous, low-grade, old",0.40,4.080000,en,18024,copper,retail
"","","Bright copper, no 2, sparkplugs",79.80,4.610000,en,18023,copper,retail
"","",Brass cartridges,33.60,3.180000,en,18034,yellow brass,retail
"","","Aluminium billets, bare",90.00,1.250000,en,10018,aluminium,retail
"","","Copper, miscellaneous, low-grade, old",19.50,4.210000,en,18024,copper,retail
"","","Copper Cable, min. 38% Cu",62.70,1.470000,en,18028,cables,retail
"","",Brake discs,97.00,0.390000,en,10175,iron and steel,retail
"","",Hartmetall Bohrer und Fräser,0.90,13.180000,de,18019,tungsten carbide,retail
"","","Copper, miscellaneous, low-grade, old",11.50,4.110000,en,18024,copper,retail
"","",Lead batteries,1024.00,0.560000,en,18065,electronics,retail
"","","Copper Cable, min. 38% Cu",2.00,1.440000,en,18028,cables,retail
"","",Disc drives,1.24,30.000000,en,18055,pc components,retail
"","","Copper Cable, min. 38% Cu",111.00,1.420000,en,18028,cables,retail
